Name;Cores;Threads;BaseClock;BoostClock;TDP;Socket;ReleaseYear;Price;Description;ManufacturerDboId
Intel Core i3-10100;4;8;3.60;4.30;65;LGA1200;2020;119.99;"4-jadrový desktopový procesor so 8 vláknami, vhodný pre kancelárske a domáce použitie. Podpora DDR4, PCIe 3.0, integrovaná grafika Intel UHD Graphics.";1
Intel Core i5-10400;6;12;2.90;4.30;65;LGA1200;2020;179.99;"6-jadrový procesor s 12 vláknami pre univerzálne PC zostavy. Vhodný na prácu aj hranie. Podpora DDR4, PCIe 3.0, integrovaná grafika Intel UHD Graphics.";1
Intel Core i7-10700K;8;16;3.80;5.10;125;LGA1200;2020;349.99;"8-jadrový výkonný procesor so 16 vláknami urcený pre gaming a produktivitu. Podpora DDR4, PCIe 3.0, integrovaná grafika Intel UHD Graphics.";1
Intel Core i9-10900K;10;20;3.70;5.30;125;LGA1200;2020;489.99;"10-jadrový procesor s 20 vláknami pre nárocné aplikácie a hry. Podpora DDR4, PCIe 3.0, integrovaná grafika Intel UHD Graphics.";1
Intel Core i5-11400;6;12;2.60;4.40;65;LGA1200;2021;189.99;"6-jadrový procesor 11. generácie vhodný pre herné a pracovné zostavy. Podpora PCIe 4.0, DDR4, integrovaná grafika Intel UHD Graphics 730.";1
Intel Core i7-11700K;8;16;3.60;5.00;125;LGA1200;2021;379.99;"8-jadrový procesor s vysokým jednovláknovým výkonom. Podpora PCIe 4.0, DDR4, integrovaná grafika Intel UHD Graphics 750.";1
Intel Core i9-11900K;8;16;3.50;5.30;125;LGA1200;2021;539.99;"Vlajkový procesor 11. generácie s vysokým taktovaním. Podpora PCIe 4.0, DDR4, integrovaná grafika Intel UHD Graphics 750.";1
Intel Core i5-12400;6;12;2.50;4.40;65;LGA1700;2022;199.99;"6-jadrový procesor 12. generácie s výborným pomerom cena/výkon. Podpora DDR4/DDR5, PCIe 5.0, integrovaná grafika Intel UHD Graphics 730.";1
Intel Core i7-12700K;12;20;3.60;5.00;125;LGA1700;2022;419.99;"Hybridný 12-jadrový procesor (8P+4E) s 20 vláknami pre nárocné nasadenie. Podpora DDR4/DDR5, PCIe 5.0.";1
Intel Core i9-12900K;16;24;3.20;5.20;125;LGA1700;2021;589.99;"16-jadrový hybridný procesor s 24 vláknami urcený pre high-end PC. Podpora DDR4/DDR5, PCIe 5.0.";1
Intel Core i5-13600K;14;20;3.50;5.10;125;LGA1700;2023;329.99;"14-jadrový procesor (6P+8E) ideálny pre herné zostavy vyššej triedy. Podpora DDR4/DDR5, PCIe 5.0.";1
Intel Core i7-13700K;16;24;3.40;5.40;125;LGA1700;2023;409.99;"16-jadrový hybridný procesor s vysokým výkonom pre gaming a prácu. Podpora DDR4/DDR5, PCIe 5.0.";1
